TCGA-76-4925-01A-01R-1850-01	TCGA-06-0649-01B-01R-1849-01	TCGA-14-1034-01A-01R-1849-01	TCGA-26-5136-01B-01R-1850-01	TCGA-06-5412-01A-01R-1849-01	TCGA-76-4931-01A-01R-1850-01	TCGA-28-5216-01A-01R-1850-01	TCGA-06-2565-01A-01R-1849-01	TCGA-32-1982-01A-01R-1850-01	TCGA-06-0184-01A-01R-1849-01	TCGA-06-0878-01A-01R-1849-01	TCGA-06-0646-01A-01R-1849-01	TCGA-27-1835-01A-01R-1850-01	TCGA-14-1823-01A-01R-1849-01	TCGA-02-2485-01A-01R-1849-01	TCGA-06-0745-01A-01R-1849-01	TCGA-12-3653-01A-01R-1849-01	TCGA-32-2615-01A-01R-1850-01	TCGA-28-5213-01A-01R-1850-01	TCGA-06-0157-01A-01R-1849-01	TCGA-06-5858-01A-01R-1849-01	TCGA-16-0846-01A-01R-1850-01	TCGA-32-2632-01A-01R-1850-01	TCGA-06-0190-01A-01R-1849-01	TCGA-06-2558-01A-01R-1849-01	TCGA-06-0211-01A-01R-1849-01	TCGA-28-5204-01A-01R-1850-01	TCGA-14-0871-01A-01R-1849-01	TCGA-26-5132-01A-01R-1850-01	TCGA-06-2557-01A-01R-1849-01	TCGA-28-5209-01A-01R-1850-01	TCGA-26-5133-01A-01R-1850-01	TCGA-27-2528-01A-01R-1850-01	TCGA-06-0882-01A-01R-1849-01	TCGA-14-0817-01A-01R-1849-01	TCGA-32-5222-01A-01R-1850-01	TCGA-12-0619-01A-01R-1849-01	TCGA-06-2570-01A-01R-1849-01	TCGA-06-0211-01B-01R-1849-01	TCGA-06-0129-01A-01R-1849-01	TCGA-12-3652-01A-01R-1849-01	TCGA-06-2569-01A-01R-1849-01	TCGA-06-5414-01A-01R-1849-01	TCGA-27-1834-01A-01R-1850-01	TCGA-02-0047-01A-01R-1849-01	TCGA-27-1831-01A-01R-1850-01	TCGA-76-4926-01B-01R-1850-01	TCGA-06-0219-01A-01R-1849-01	TCGA-14-0781-01B-01R-1849-01	TCGA-14-0790-01B-01R-1849-01	TCGA-06-0644-01A-02R-1849-01	TCGA-28-5208-01A-01R-1850-01	TCGA-28-5207-01A-01R-1850-01	TCGA-15-1444-01A-02R-1850-01	TCGA-02-0055-01A-01R-1849-01	TCGA-06-0645-01A-01R-1849-01	TCGA-02-2483-01A-01R-1849-01	TCGA-12-5299-01A-02R-1849-01	TCGA-27-1832-01A-01R-1850-01	TCGA-06-5856-01A-01R-1849-01	TCGA-32-4213-01A-01R-1850-01	TCGA-06-5417-01A-01R-1849-01	TCGA-27-2524-01A-01R-1850-01	TCGA-14-1829-01A-01R-1850-01	TCGA-06-0749-01A-01R-1849-01	TCGA-06-5411-01A-01R-1849-01	TCGA-28-1747-01C-01R-1850-01	TCGA-12-1597-01B-01R-1849-01	TCGA-41-4097-01A-01R-1850-01	TCGA-06-0187-01A-01R-1849-01	TCGA-28-2509-01A-01R-1850-01	TCGA-06-5418-01A-01R-1849-01	TCGA-27-2526-01A-01R-1850-01	TCGA-41-2572-01A-01R-1850-01	TCGA-12-5295-01A-01R-1849-01	TCGA-26-5134-01A-01R-1850-01	TCGA-12-0821-01A-01R-1849-01	TCGA-27-2521-01A-01R-1850-01	TCGA-76-4929-01A-01R-1850-01	TCGA-19-4065-01A-01R-2005-01	TCGA-32-1970-01A-01R-1850-01	TCGA-06-0174-01A-01R-1849-01	TCGA-14-0789-01A-01R-1849-01	TCGA-14-0787-01A-01R-1849-01	TCGA-06-0132-01A-02R-1849-01	TCGA-28-5220-01A-01R-1850-01	TCGA-28-2510-01A-01R-1850-01	TCGA-06-5410-01A-01R-1849-01	TCGA-06-2559-01A-01R-1849-01	TCGA-15-0742-01A-01R-1850-01	TCGA-06-0747-01A-01R-1849-01	TCGA-19-1390-01A-01R-1850-01	TCGA-19-2619-01A-01R-1850-01	TCGA-06-0743-01A-01R-1849-01	TCGA-32-2616-01A-01R-1850-01	TCGA-28-2513-01A-01R-1850-01	TCGA-06-2562-01A-01R-1849-01	TCGA-41-2571-01A-01R-1850-01	TCGA-28-1753-01A-01R-1850-01	TCGA-06-0158-01A-01R-1849-01	TCGA-19-2629-01A-01R-1850-01	TCGA-76-4932-01A-01R-1850-01	TCGA-06-2564-01A-01R-1849-01	TCGA-14-2554-01A-01R-1850-01	TCGA-26-1442-01A-01R-1850-01	TCGA-12-0618-01A-01R-1849-01	TCGA-06-0238-01A-02R-1849-01	TCGA-06-5415-01A-01R-1849-01	TCGA-06-0141-01A-01R-1849-01	TCGA-26-5139-01A-01R-1850-01	TCGA-14-1825-01A-01R-1850-01	TCGA-27-1830-01A-01R-1850-01	TCGA-06-5413-01A-01R-1849-01	TCGA-06-0744-01A-01R-1849-01	TCGA-06-2563-01A-01R-1849-01	TCGA-06-0125-01A-01R-1849-01	TCGA-19-5960-01A-11R-1850-01	TCGA-32-1980-01A-01R-1850-01	TCGA-06-5859-01A-01R-1849-01	TCGA-12-0616-01A-01R-1849-01	TCGA-06-2567-01A-01R-1849-01	TCGA-06-0156-01A-03R-1849-01	TCGA-06-0130-01A-01R-1849-01	TCGA-06-0686-01A-01R-1849-01	TCGA-27-1837-01A-01R-1850-01	TCGA-32-2634-01A-01R-1850-01	TCGA-06-5408-01A-01R-1849-01	TCGA-19-2624-01A-01R-1850-01	TCGA-06-0178-01A-01R-1849-01	TCGA-28-5215-01A-01R-1850-01	TCGA-27-2523-01A-01R-1850-01	TCGA-12-3650-01A-01R-1849-01	TCGA-28-5218-01A-01R-1850-01	TCGA-06-0168-01A-01R-1849-01	TCGA-06-0750-01A-01R-1849-01	TCGA-06-1804-01A-01R-1849-01	TCGA-76-4927-01A-01R-1850-01	TCGA-06-0138-01A-02R-1849-01	TCGA-02-2486-01A-01R-1849-01	TCGA-28-2499-01A-01R-1850-01	TCGA-19-1787-01B-01R-1850-01	TCGA-06-2561-01A-02R-1849-01	TCGA-19-2620-01A-01R-1850-01	TCGA-06-5416-01A-01R-1849-01	TCGA-06-0210-01A-01R-1849-01	TCGA-27-2519-01A-01R-1850-01	TCGA-28-2514-01A-02R-1850-01	TCGA-08-0386-01A-01R-1849-01	TCGA-16-1045-01B-01R-1850-01	TCGA-41-5651-01A-01R-1850-01	TCGA-76-4928-01B-01R-1850-01	TCGA-06-0156-01A-02R-1849-01	TCGA-19-2625-01A-01R-1850-01	TCGA-32-2638-01A-01R-1850-01	TCGA-41-3915-01A-01R-1850-01	TCGA-26-5135-01A-01R-1850-01
EPYC	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	24	2	11	0	0	1	0	0	0	0	0	86	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8737	0	0	0	0	0	2	3	0	0	3	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	6	0
DEFB119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP13	3	5	0	12	0	2	38	16	0	1	147	33	1	32	0	8	0	3	0	4	31	0	0	2129	3	25	0	22	0	0	66	1	374	0	4	3	47	1	6	0	2	223	0	0	109	1	1	20	0	0	1209	1	0	0	37119	13	52	8	1	0	8	0	450	0	0	5	0	4	4	5	0	0	0	0	0	148	53	14	0	10	0	99	0	2	1	15	10	0	6	14	1	12	1	44	158	0	0	11	38	130	1	0	0	0	0	4	6	0	2	19	11	25	1	2	0	5	0	410	0	0	0	113	934	184	0	4	9	1	1	1230	2	0	6589	52	14	0	9	124	0	4	0	0	0	27	5	1	2	1	5	18	29	242	0	3	39	0
IGF2BP1	1	19	8	10	0	0	6	0	2	1	13	2	1	0	1	0	13	4	2	0	9	0	3	79	0	6	37	12020	1	0	14	1095	20	0	0	3	17	0	0	49	12	1469	2	0	0	4	0	1	376	0	210	1	0	0	395	4	2	4	1	2	8	0	9	0	0	0	1	1	1	130	16	1	0	1	3	14	134	5	3	10	1	19	9	0	0	1	1	0	12	1	0	8	3	6	0	6	20	2	30	0	0	5	0	0	0	0	10	0	9	0	11	4	8	1	0	6	0	4	0	11	3	0	0	23	3	212	44	1	0	7	0	0	1165	9	5	0	63	72	0	6	2	0	3	2	8	0	0	7	0	0	3	0	4	4	3	6
TTR	2	0	7	2	0	3	1	0	0	4	3	0	2	2	0	2	2	0	15	5	1	0	21	0	0	0	0	3	0	11	1	2	3	0	75	4	1	0	0	0	1	1	1	346	1	13	1	6	0	0	0	0	5	38	5	0	2	0	6	2	9	4	0	12	0	0	0	1	0	0	0	0	1	2	1	0	6	9	32	0	0	0	0	0	11	12	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	2	2	6	2	1	12	2	12	7	3	1	0	1	0	0	45	2	47	1	0	0	1	2	2	1	0	8	1	14	45	1	85	269	3	0	36	16	0	0	0	9	0	89	6	10	0	0	0	0	52	0	1	0
CAPN6	4	0	13	33	2	2	20	4	0	19	1	5	10	3	12	7	6	57	104	26	830	4	5024	3	3	17	7	1331	306	15	138	4	54	0	10	0	11	3	6	2	15	27715	10	2	5	0	4	119	4	234	5	0	1	2	44	4	5	2	13	1	21	6	32	8	0	5	2	5	1	0	57	2	0	1	6	0	2	7	15	5	109	3	1	1	0	4	0	6	3	0	0	37	2314	3	30	0	3	1	700	131	2	155	0	1	2	9	6	0	0	3	14	0	3	0	0	58	4	1	4	6	0	4	668	3	42	4	3	16	0	9	18	13	47300	19	4	0	12	0	0	0	2	0	0	32	0	4	2	149	0	3	4	9	21	0	0	0
MEOX1	6	4	0	2	0	4	0	3	1	0	2	0	6	4	0	4	17	1	2	10	2	1	2	20	0	3	4	4523	1	5	2	1	21	0	1	0	2	0	0	0	2	2557	2	1	1	4	1	0	2	0	18	0	1	0	15	0	0	1	1	0	6	0	3	1	0	0	2	0	1	2	0	0	0	0	3	3	0	4	0	2	0	0	1	3	2	10	1	0	0	5	1	1	2	0	1	2	0	0	23	1	1	0	0	0	1	0	0	0	1	0	0	0	14	0	1	0	4	2	1	0	0	0	31	0	0	0	1	0	2	3	2	2	4611	7	4	0	1	0	0	0	2	1	0	0	2	0	0	0	1	0	5	0	0	0	0	1
KLK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	3	0	0	0	0	1	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	7	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	16	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3076	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	3
PI3	107	103	273	211	10178	111	15	100	17	14	1146	807	10	10804	2	59	0	538	1385	12	17	1	2	521	72	3226	18	42	40	10	77	3	7	711	14	138	566	32	45	3	773	0	1214	0	36	131	84	37	2849	5	70	113	5	12	1484	3067	58	400	70	92	3524	0	3497	518	1	155	1	1	373	2123	160	166	0	286	10	9	26	8	514	193	2	28	17106	318	5249	9	16	6516	7	341	39	4	267	233	20	17798	882	8	5	9	1	84	8	2778	14	8	18	2	4814	622	17	681	110	5	48	114	8	513	5	9	202	14299	51	37	24	43	412	1	4	45	27	3	12	780	118	8	519	858	254	34	8	33	360	0	5081	1214	4	91	4625	19	733	11799	349	646	657	59
