TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
155060	850	754	947	1153	885
8225	769	1436	2298	1460	1478
90288	42	32	11	44	38
A1BG	160	98	593	142	236
A2BP1	10782	7843	1898	10158	10408
A2LD1	103	93	194	70	80
A2ML1	264	58	81	276	141
A2M	14104	10018	12829	12763	15356
A4GALT	285	273	252	167	156
AAAS	611	584	1715	742	785
AACS	4073	4358	1465	4406	3682
AADAT	625	488	651	694	639
AAGAB	2935	2451	1687	2883	3110
AAK1	10926	13317	3667	12747	10306
AAMP	4201	4183	4737	4238	4613
AARS2	1134	965	657	1093	1006
AARSD1	1956	2182	1433	1797	2133
AARS	14545	16738	15543	14895	16025
AASDHPPT	6438	5040	4740	5994	6357
AASDH	537	475	569	569	563
AASS	988	1010	2857	1063	1128
AATF	1093	1333	2728	1132	1379
AATK	6579	11569	36447	7278	8467
ABAT	18893	12731	5096	20228	15463
ABCA11P	344	329	200	443	249
ABCA13	2	3	4	0	1
ABCA17P	62	67	92	84	119
ABCA1	939	1567	1316	1033	1481
ABCA2	20228	36447	172137	22369	30056
ABCA3	12210	9843	9222	12536	9961
ABCA4	34	27	1	26	29
ABCA5	2257	1726	940	2547	2185
ABCA6	14	27	416	22	28
ABCA7	601	397	427	1008	806
ABCA8	424	1998	12225	699	1630
ABCA9	301	271	136	493	259
ABCB10	767	571	783	762	692
ABCB1	1538	1395	742	1453	1544
ABCB4	24	11	19	16	28
ABCB6	1416	998	1515	1668	1315
ABCB7	432	432	758	383	383
ABCB8	1878	1668	2693	2179	1849
ABCB9	1750	892	1045	1713	1412
ABCC10	906	722	778	978	893
ABCC1	1086	1069	682	1092	959
ABCC3	15	87	12	22	19
ABCC4	384	322	388	310	290
ABCC5	4251	3526	3136	4832	4549
ABCC6P2	5	4	13	12	10
ABCC6	14	8	17	21	32
ABCC8	1517	785	420	1752	1276
ABCC9	1325	705	680	1214	602
ABCD1	317	324	690	228	341
ABCD2	1378	468	178	1278	828
ABCD3	2268	2395	3941	2372	2412
ABCD4	905	927	2215	942	979
ABCE1	2640	3224	4287	2726	2884
ABCF1	2741	3276	4174	2727	2931
ABCF2	3087	3704	2959	3156	3286
ABCF3	2779	2435	2640	2807	3096
ABCG1	1212	1295	3506	1120	1166
ABCG2	1358	1606	1202	1745	1542
ABCG4	1108	957	196	1245	1013
ABHD10	2720	2529	2400	2520	2902
ABHD11	503	421	551	535	473
ABHD12	4545	4345	6306	4577	4799
ABHD13	1462	1195	1066	1206	1264
ABHD14A	1848	1256	1158	1811	2038
ABHD14B	464	373	736	481	505
ABHD15	236	162	339	199	180
ABHD1	16	26	53	28	27
ABHD2	11663	12812	6091	12618	10158
ABHD3	410	455	573	450	440
ABHD4	744	1122	1702	817	947
ABHD5	719	909	1574	737	812
ABHD6	1940	2174	4823	2247	2185
ABHD8	5038	3143	1291	4685	4771
ABI1	4678	4676	2961	4545	4503
ABI2	15356	13636	6461	14659	13735
ABI3BP	147	116	621	210	122
