TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
100133144	3	6	1	15	3
A2BP1	10782	7843	1898	10158	10408
A2ML1	264	58	81	276	141
A2M	14104	10018	12829	12763	15356
A4GNT	0	0	0	0	1
AACSL	10	21	9	9	11
AACS	4073	4358	1465	4406	3682
AAK1	10926	13317	3667	12747	10306
AASS	988	1010	2857	1063	1128
AATK	6579	11569	36447	7278	8467
ABCA10	19	40	10	40	71
ABCA13	2	3	4	0	1
ABCA1	939	1567	1316	1033	1481
ABCA2	20228	36447	172137	22369	30056
ABCA4	34	27	1	26	29
ABCA5	2257	1726	940	2547	2185
ABCA8	424	1998	12225	699	1630
ABCB11	0	0	0	0	0
ABCB4	24	11	19	16	28
ABCB7	432	432	758	383	383
ABCB9	1750	892	1045	1713	1412
ABCC12	191	79	41	186	171
ABCC13	0	0	0	0	0
ABCC3	15	87	12	22	19
ABCC4	384	322	388	310	290
ABCC6P1	7	1	1	7	6
ABCC6P2	5	4	13	12	10
ABCC6	14	8	17	21	32
ABCD1	317	324	690	228	341
ABCG4	1108	957	196	1245	1013
ABCG8	18	1	1	15	5
ABHD12B	57	50	35	74	93
ABHD14B	464	373	736	481	505
ABHD3	410	455	573	450	440
ABHD4	744	1122	1702	817	947
ABHD5	719	909	1574	737	812
ABHD8	5038	3143	1291	4685	4771
ABI3BP	147	116	621	210	122
ABI3	431	377	453	205	215
ABLIM2	3674	2394	951	3456	3215
ABP1	0	0	0	0	0
ABRA	5	17	0	5	5
ACAN	70	78	146	46	51
ACCN1	1518	1567	514	1587	1459
ACCN4	674	470	376	710	709
ACE2	0	1	4	0	2
ACE	391	367	65	376	369
ACMSD	0	0	0	0	0
ACN9	295	251	404	258	361
ACOT4	231	147	48	144	140
ACOT7	9979	9185	4688	10276	10008
ACOX2	98	110	147	123	113
ACP5	24	13	129	39	17
ACP6	258	98	405	138	340
ACRBP	13	9	37	12	12
ACSBG2	0	0	0	0	0
ACSM3	1	0	1	0	1
ACSM5	151	82	167	143	303
ACTA1	44	148	22	42	50
ACTA2	848	625	510	1093	1789
ACTG2	26	41	0	22	57
ACTL6A	171	284	1059	149	273
ACTL6B	3188	2593	866	3007	3138
ACTN2	3965	6258	3892	3852	4052
ACTR3B	3781	4897	1641	3662	3965
ACTR3C	98	59	33	69	59
ACVR1C	1967	683	998	1753	1573
ACYP1	568	380	363	618	781
ADAD2	441	2407	338	409	128
ADAM11	5725	4376	1644	5884	4719
ADAM12	79	405	359	94	92
ADAM23	4102	3513	1038	4547	3611
ADAM28	251	160	387	326	304
ADAM6	73	10	16	17	729
ADAM8	31	45	84	46	119
ADAM9	2667	2657	3267	2794	2665
ADAMDEC1	0	0	0	0	0
ADAMTS12	4	2	2	1	0
ADAMTS15	14	15	5	15	14
ADAMTS16	235	502	60	245	267
ADAMTS18	19	89	1069	3	88
ADAMTS20	0	4	0	0	3
ADAMTS4	425	2034	11529	531	1885
ADAMTS5	71	59	47	95	55
ADAMTS6	31	18	32	38	27
ADAMTS7	15	50	107	17	25
ADAMTS8	1572	1015	1337	1436	1419
ADAMTS9	186	934	570	170	225
ADAMTSL4	106	73	102	71	64
ADAP1	7500	9738	11799	6523	7412
ADAP2	213	316	331	253	342
ADARB1	4715	3733	983	4639	3671
ADARB2	559	634	1497	835	635
ADCY1	17391	10397	2475	17798	12167
ADCY5	2883	2348	4375	3064	2304
ADCY8	1094	1033	866	1267	1064
ADCYAP1R1	1706	1317	415	2044	1046
ADCYAP1	805	854	60	758	1006
ADH7	0	0	0	0	0
ADIG	0	0	0	0	0
ADM2	1	2	1	3	3
ADORA3	1099	754	1789	555	777
ADPRHL1	270	368	96	315	258
ADPRH	160	116	268	104	155
ADRA1B	1368	3072	813	1581	1390
ADRA2C	408	407	157	313	294
ADRB1	1011	490	251	821	900
ADRB3	32	35	10	22	28
ADRBK2	5020	3223	1302	5595	4257
AEBP1	3494	2572	2083	3589	2006
AEN	412	691	613	422	417
AFAP1L1	146	117	63	151	75
AFMID	688	919	3933	745	1031
AFP	0	0	0	0	0
AG2	362	2587	475	387	1084
AGAP1	2439	2619	4127	2627	1803
AGAP7	8	11	48	7	11
AGBL2	4	1	8	1	3
AGBL3	11	7	36	13	8
AGBL4	770	620	163	823	587
AGER	16	28	124	37	48
AGMAT	198	175	92	140	124
AGPAT4	3221	5509	11164	3902	4328
AGPAT5	2948	3464	3462	2997	3046
AGRP	0	0	0	0	0
