Source_HUGO	Target_HUGO	Edge
AR	A2ML1	1
AR	AATK	1
AR	ABCA2	1
AR	ABCA4	1
AR	ABCG4	1
AR	ABLIM1	1
AR	ACAP1	1
AR	ACBD5	1
AR	ACN9	1
AR	ACSS3	1
AR	ADAM8	1
AR	ADAMTS19	1
AR	ADCY5	1
AR	ADCYAP1R1	1
AR	ADM	1
AR	ADPRH	1
AR	ADSSL1	1
AR	AFAP1L1	1
AR	AFF2	1
AR	AFF3	1
AR	AKR1C1	1
AR	ALDH2	1
AR	ALDOC	1
AR	ALOX5AP	1
AR	AMOT	1
AR	AMY2B	1
AR	AMZ1	1
AR	ANGPTL2	1
AR	ANK1	1
AR	ANK3	1
AR	ANKFN1	1
AR	ANKRD53	1
AR	ANO1	1
AR	ANXA2	1
AR	AP1S3	1
AR	APC2	1
AR	APOBEC3C	1
AR	AQP1	1
AR	ARF4	1
AR	ARHGAP36	1
AR	ARPC1B	1
AR	ARSD	1
AR	ARSE	1
AR	ARSJ	1
AR	ASB13	1
AR	ASPDH	1
AR	ATG9B	1
AR	ATP1A2	1
AR	ATP1A3	1
AR	ATP7B	1
AR	ATP8A2	1
AR	ATP8B5P	1
AR	B2M	1
AR	B3GNT7	1
AR	BDKRB2	1
AR	BEST3	1
AR	BTNL9	1
AR	C11orf63	1
AR	C12orf39	1
AR	C1QB	1
AR	C1QC	1
AR	C1QL3	1
AR	C1RL	1
AR	C1orf115	1
AR	C2	1
AR	C21orf62	1
AR	C22orf46	1
AR	C2orf27A	1
AR	C4A	1
AR	C5AR1	1
AR	C8orf76	1
AR	C9orf129	1
AR	CA3	1
AR	CA9	1
AR	CADM2	1
AR	CAMK2A	1
AR	CAMKK1	1
AR	CAMKV	1
AR	CAPG	1
AR	CAPZA2	1
AR	CARD14	1
AR	CARD16	1
AR	CASP4	1
AR	CASP6	1
AR	CASP8	1
AR	CBR1	1
AR	CCBL1	1
AR	CCDC141	1
AR	CCDC64	1
AR	CCDC65	1
AR	CCDC68	1
AR	CCDC8	1
AR	CCL3	1
AR	CCL4	1
AR	CCNB1	1
AR	CD109	1
AR	CD2	1
AR	CD22	1
AR	CD38	1
AR	CD72	1
AR	CD74	1
AR	CD93	1
AR	CDC25A	1
AR	CDH22	1
AR	CDH6	1
AR	CDH7	1
AR	CDH9	1
AR	CDK5R2	1
AR	CDKL5	1
AR	CDKN2A	1
AR	CECR2	1
AR	CENPL	1
AR	CENPM	1
AR	CHADL	1
AR	CHCHD2	1
AR	CHGB	1
AR	CHIC2	1
AR	CHODL	1
AR	CHRM1	1
AR	CHRNA2	1
AR	CHRNA5	1
AR	CHRNA9	1
AR	CKLF	1
AR	CLEC11A	1
AR	CLEC18A	1
AR	CLEC5A	1
AR	CLTCL1	1
AR	CLVS2	1
AR	CMC1	1
AR	CMTM5	1
AR	CNNM1	1
AR	CNR1	1
AR	CNTN6	1
AR	COL18A1	1
AR	COL5A1	1
AR	COL6A2	1
AR	COL8A1	1
AR	CP	1
AR	CPAMD8	1
AR	CPE	1
AR	CPLX2	1
AR	CRABP1	1
AR	CREG2	1
AR	CRHR1	1
AR	CRYM	1
AR	CSTA	1
AR	CTBS	1
AR	CTHRC1	1
AR	CTNNA3	1
AR	CXCL3	1
AR	CXCR2	1
AR	CYBA	1
AR	CYP19A1	1
AR	CYP21A2	1
AR	CYP2D6	1
AR	CYP2E1	1
AR	CYP4X1	1
AR	CYP7B1	1
AR	CYTIP	1
AR	DAAM2	1
AR	DBF4	1
AR	DCHS2	1
AR	DEPDC1	1
AR	DES	1
AR	DGKI	1
AR	DIRAS2	1
AR	DLG2	1
AR	DLGAP2	1
AR	DLGAP5	1
AR	DLX5	1
AR	DNAH1	1
AR	DNAH7	1
AR	DNAH9	1
AR	DNAJC12	1
AR	DNASE1L2	1
AR	DOCK10	1
AR	DOK3	1
AR	DPEP1	1
AR	DPY19L1	1
AR	DRD1	1
AR	DUSP23	1
AR	DUSP26	1
AR	DUSP6	1
AR	DUSP8	1
AR	DYNLT1	1
AR	E2F1	1
AR	ECHDC2	1
AR	EDARADD	1
AR	EEPD1	1
AR	EFHC2	1
AR	EGFLAM	1
AR	EGR4	1
AR	EHD3	1
AR	EID3	1
AR	ELAVL3	1
AR	ELMO1	1
AR	EMILIN1	1
AR	EMR2	1
AR	EMX2OS	1
AR	EPSTI1	1
AR	ERC2	1
AR	ERI1	1
AR	ERRFI1	1
AR	ETNK2	1
AR	F11R	1
AR	F13A1	1
AR	FA2H	1
AR	FAM107A	1
AR	FAM110B	1
AR	FAM111A	1
AR	FAM115C	1
AR	FAM129A	1
AR	FAM167A	1
AR	FAM171A2	1
AR	FAM181A	1
AR	FAM196B	1
AR	FAM19A2	1
AR	FAM19A5	1
AR	FAM20A	1
AR	FAM46B	1
AR	FAM64A	1
AR	FAM83D	1
AR	FAM90A1	1
AR	FAS	1
AR	FBLIM1	1
AR	FBXO17	1
AR	FCGR2B	1
AR	FCGR2C	1
AR	FCHO1	1
AR	FEZF2	1
AR	FGFBP2	1
AR	FHL2	1
AR	FKBP11	1
AR	FKBP9L	1
AR	FLNC	1
AR	FLRT1	1
AR	FMO2	1
AR	FMOD	1
AR	FOXS1	1
AR	FPR3	1
AR	FRMPD4	1
AR	FRY	1
AR	FSD1L	1
AR	FST	1
AR	FSTL5	1
AR	FUT9	1
AR	FXYD7	1
AR	GABRA1	1
AR	GABRA4	1
AR	GABRB1	1
AR	GABRB2	1
AR	GABRE	1
AR	GAL3ST1	1
AR	GALNT3	1
AR	GALNT9	1
AR	GAPT	1
AR	GAS2	1
AR	GATSL3	1
AR	GBP1	1
AR	GBP5	1
AR	GCK	1
AR	GDA	1
AR	GDAP1	1
AR	GDAP1L1	1
AR	GEMIN7	1
AR	GFRA1	1
AR	GGH	1
AR	GINS4	1
AR	GJB6	1
AR	GJD3	1
AR	GLB1	1
AR	GLIPR1	1
AR	GLRA3	1
AR	GLS2	1
AR	GNAL	1
AR	GNAZ	1
AR	GNG11	1
AR	GNG12	1
AR	GPC3	1
AR	GPR22	1
AR	GPR3	1
AR	GPR61	1
AR	GPR82	1
AR	GPR98	1
AR	GPT	1
AR	GPX8	1
AR	GRAMD1B	1
AR	GRB10	1
AR	GREB1	1
AR	GRHL3	1
AR	GRIK2	1
AR	GRIN2C	1
AR	GRM4	1
AR	GRM5	1
AR	GSDMC	1
AR	GSDMD	1
AR	GSTM2	1
AR	GUCA1B	1
AR	GUCY1A3	1
AR	HAPLN2	1
AR	HAS2	1
AR	HCN1	1
AR	HECW1	1
AR	HIP1R	1
AR	HLA-C	1
AR	HLA-DMB	1
AR	HLA-DPA1	1
AR	HLA-DQB1	1
AR	HLA-DQB2	1
AR	HLA-G	1
AR	HMGB2	1
AR	HMGN5	1
AR	HMMR	1
AR	HOPX	1
AR	HOXB2	1
AR	HOXD11	1
AR	HPCAL4	1
AR	HPD	1
AR	HRH1	1
AR	HS3ST4	1
AR	HSPA12A	1
AR	HTATIP2	1
AR	HTR2A	1
AR	IDI2	1
AR	IFI44	1
AR	IGF2	1
AR	IGF2BP3	1
AR	IGFALS	1
AR	IGFBP4	1
AR	IGFBP5	1
AR	IGFBP7	1
AR	IL1A	1
AR	IL1RN	1
AR	IL4I1	1
AR	IMPA2	1
AR	INA	1
AR	IPCEF1	1
AR	IQGAP2	1
AR	ITGA7	1
AR	ITGB3	1
AR	ITPRIPL1	1
AR	JPH3	1
AR	KALRN	1
AR	KCNA2	1
AR	KCNA5	1
AR	KCNAB1	1
AR	KCNB1	1
AR	KCNJ10	1
AR	KCNJ4	1
AR	KCNK10	1
AR	KCNK4	1
AR	KCNMB1	1
AR	KCNN1	1
AR	KCNQ3	1
AR	KCNS2	1
AR	KCNT1	1
AR	KCTD14	1
AR	KDELR3	1
AR	KIAA0040	1
AR	KIAA0513	1
AR	KIAA1239	1
AR	KIAA1244	1
AR	KIAA1644	1
AR	KIF1A	1
AR	KIF2C	1
AR	KIF5A	1
AR	KIF5C	1
AR	KLHL32	1
AR	KLK6	1
AR	KMO	1
AR	LAIR1	1
AR	LAMA2	1
AR	LAMA4	1
AR	LCNL1	1
AR	LDB3	1
AR	LDHA	1
AR	LGALS3	1
AR	LGI3	1
AR	LHPP	1
AR	LIF	1
AR	LIX1	1
AR	LMNB1	1
AR	LOC154761	1
AR	LOC389332	1
AR	LOXL2	1
AR	LOXL4	1
AR	LPIN1	1
AR	LPPR1	1
AR	LRFN2	1
AR	LRIG1	1
AR	LRP1B	1
AR	LRRC32	1
AR	LRRC66	1
AR	LRRTM3	1
AR	LSM10	1
AR	LSP1	1
AR	LTBR	1
AR	LTF	1
AR	LYNX1	1
AR	LYZ	1
AR	LZTS1	1
AR	MACROD2	1
AR	MADD	1
AR	MAEL	1
AR	MAGEE1	1
AR	MAP1A	1
AR	MAP7	1
AR	MAPK8IP2	1
AR	MARCH8	1
AR	MAST4	1
AR	MATK	1
AR	MCAM	1
AR	MCM10	1
AR	MEST	1
AR	MFAP2	1
AR	MFAP4	1
AR	MGAT3	1
AR	MGAT4C	1
AR	MGAT5B	1
AR	MIAT	1
AR	MICB	1
AR	MMD2	1
AR	MMP2	1
AR	MMP7	1
AR	MMRN1	1
AR	MN1	1
AR	MOV10L1	1
AR	MPPED1	1
AR	MR1	1
AR	MRO	1
AR	MRPS12	1
AR	MRVI1	1
AR	MS4A4A	1
AR	MSR1	1
AR	MT1L	1
AR	MTMR11	1
AR	MTMR7	1
AR	MTUS2	1
AR	MX1	1
AR	MYD88	1
