Source_HUGO	Source_Entrez	Target_HUGO	Target_Entrez
TFAP2A	7020	VEGFA	7422
MYC	4609	TXNDC5	81567
MYC	4609	PPIA	5478
YY1	7528	PPIA	5478
YY1	7528	CAPZA1	829
USF1	7391	TXNDC5	81567
USF1	7391	PRDX4	10549
USF1	7391	CCNB1	891
TFAP2A	7020	GUSB	2990
STAT3	6774	VEGFA	7422
SRF	6722	PPIA	5478
SRF	6722	PLP2	5355
SP1	6667	VEGFA	7422
SP1	6667	SPAG4	6676
NFKB1	4790	VEGFA	7422
MYC	4609	NXT1	29107
MYC	4609	LDHA	3939
MYC	4609	ARF4	378
MAX	4149	TXNDC5	81567
MAX	4149	PPIA	5478
MAX	4149	PLP2	5355
JUN	3725	VEGFA	7422
JUN	3725	LDHA	3939
HNF4A	3172	CLIC1	1192
HIF1A	3091	VEGFA	7422
FOS	2353	LOC541471	541471
FOS	2353	FAM71D	161142
FOS	2353	CLIC1	1192
ETS1	2113	VEGFA	7422
EPAS1	2034	VEGFA	7422
EGR1	1958	IFNGR2	3460
E2F1	1869	CLIC1	1192
CREB1	1385	LDHA	3939
ATF1	466	LDHA	3939
ZIC2	7546	FAM190B	54462
ZEB1	6935	EDEM2	55741
YY1	7528	VKORC1	79001
YY1	7528	TUBA1C	84790
YY1	7528	PLIN2	123
YY1	7528	OST4	100128731
YY1	7528	MRPS12	6183
YY1	7528	MRPL36	64979
YY1	7528	LYPLA1	10434
YY1	7528	LGALS1	3956
YY1	7528	KDELR2	11014
YY1	7528	GLB1	2720
YY1	7528	CLIC1	1192
YY1	7528	C2orf28	51374
XBP1	7494	CALU	813
XBP1	7494	ARF4	378
USF2	7392	CCNB1	891
USF1	7391	ZNF90	7643
USF1	7391	UPF2	26019
USF1	7391	TUBA1C	84790
USF1	7391	PPIA	5478
USF1	7391	PLIN2	123
USF1	7391	NXT1	29107
USF1	7391	MRPL36	64979
USF1	7391	LOX	4015
USF1	7391	LDHA	3939
USF1	7391	JMY	133746
USF1	7391	GLA	2717
USF1	7391	GCSH	2653
USF1	7391	COMMD10	51397
USF1	7391	C19orf10	56005
USF1	7391	ATP5J2	9551
TP73	7161	VEGFA	7422
TP53	7157	VEGFA	7422
TP53	7157	PA2G4P4	647033
TP53	7157	IKBIP	121457
TP53	7157	CCNB1	891
TOPORS	10210	ZMYND11	10771
TOPORS	10210	SNRPD2	6633
