Source_HUGO	Source_Entrez	Target_HUGO	Target_Entrez
USF1	7391	S100A6	6277
USF1	7391	C4A	720
USF1	7391	ABCA1	19
TP53	7157	TP73	7161
TP53	7157	SIAH1	6477
TP53	7157	PMAIP1	5366
TP53	7157	EI24	9538
TP53	7157	CDKN1A	1026
TP53	7157	CCNG1	900
TP53	7157	BAX	581
TFAP2A	7020	VEGFA	7422
TFAP2A	7020	TNPO1	3842
TFAP2A	7020	JUP	3728
RELA	5970	TP53	7157
RELA	5970	PTGS2	5743
RELA	5970	NFKB2	4791
RELA	5970	ICAM1	3383
RELA	5970	CXCL1	2919
RELA	5970	CCL5	6352
PPARG	5468	NR1H3	10062
PPARG	5468	LPL	4023
NFKB1	4790	TP53	7157
NFKB1	4790	LTA	4049
NFKB1	4790	CD40	958
NFKB1	4790	CCL5	6352
MYC	4609	WT1	7490
MYC	4609	VDAC2	7417
MYC	4609	USO1	8615
MYC	4609	TXNDC5	81567
MYC	4609	TRIM25	7706
MYC	4609	TRIB1	10221
MYC	4609	TOP1	7150
MYC	4609	TGFB2	7042
MYC	4609	SRM	6723
MYC	4609	SMAD3	4088
MYC	4609	SLC4A2	6522
MYC	4609	SLC43A1	8501
MYC	4609	SLC39A8	64116
MYC	4609	SIM2	6493
MYC	4609	RPL22	6146
MYC	4609	RNMT	8731
MYC	4609	PTPRF	5792
MYC	4609	PTEN	5728
MYC	4609	PSME3	10197
MYC	4609	PPIA	5478
MYC	4609	POLR3G	10622
MYC	4609	NUP153	9972
MYC	4609	NTN3	4917
MYC	4609	NRAS	4893
MYC	4609	NR1D1	9572
MYC	4609	NPM1	4869
MYC	4609	NOL3	8996
MYC	4609	NME2	4831
MYC	4609	NIT1	4817
MYC	4609	NDUFS1	4719
MYC	4609	NCL	4691
MYC	4609	MTHFR	4524
MYC	4609	MSN	4478
MYC	4609	MAT2A	4144
MYC	4609	LMNA	4000
MYC	4609	KHSRP	8570
MYC	4609	HSPE1	3336
MYC	4609	HSPD1	3329
MYC	4609	HSPA9	3313
MYC	4609	HNRPDL	9987
MYC	4609	HNRNPA1	3178
MYC	4609	HDAC3	8841
MYC	4609	GNL3	26354
MYC	4609	GCLC	2729
MYC	4609	GALC	2581
MYC	4609	EIF4H	7458
MYC	4609	EIF4B	1975
MYC	4609	DCAF11	80344
MYC	4609	CLN3	1201
MYC	4609	CLCN6	1185
MYC	4609	CDK4	1019
MYC	4609	CD63	967
MYC	4609	CCT7	10574
MYC	4609	CCND1	595
MYC	4609	CBX5	23468
MYC	4609	CASP9	842
MYC	4609	CAD	790
MYC	4609	CACNB1	782
MYC	4609	BCKDHA	593
MYC	4609	ATF4	468
MYC	4609	AMPD2	271
MYC	4609	AKAP1	8165
MAX	4149	CCND1	595
JUN	3725	MMP9	4318
JUN	3725	KRT16	3868
FOS	2353	ITGA5	3678
ELK1	2002	FOS	2353
E2F1	1869	RBL1	5933
E2F1	1869	RAD51	5888
E2F1	1869	PCNA	5111
E2F1	1869	MCM5	4174
E2F1	1869	MCM3	4172
E2F1	1869	CDC25A	993
YY1	7528	ZNF581	51545
YY1	7528	XKR6	286046
YY1	7528	WDR34	89891
YY1	7528	UNC119B	84747
YY1	7528	TSKU	25987
YY1	7528	TRAPPC6B	122553
YY1	7528	TMEM187	8269
YY1	7528	TBXAS1	6916
YY1	7528	SNAP25	6616
YY1	7528	SEPT2	4735
YY1	7528	RRAS	6237
YY1	7528	RPS28	6234
YY1	7528	RPL8	6132
YY1	7528	RPL36	25873
YY1	7528	RPL35A	6165
YY1	7528	RPL30	6156
YY1	7528	RPL27	6155
YY1	7528	RIMS2	9699
YY1	7528	RAB13	5872
YY1	7528	PRPF38A	84950
YY1	7528	PHB2	11331
YY1	7528	PBX3	5090
YY1	7528	NCDN	23154
YY1	7528	NACA	4666
YY1	7528	MPZ	4359
YY1	7528	LOC254559	254559
YY1	7528	KIF20A	10112
YY1	7528	HIF1A	3091
